2025-04-25,03:45 – 04:45,Sofie G,CS146-06,work,needs help
2025-04-27,02:15 – 02:45,Sofie G,CS146-06,N/A,N/A
2025-04-28,02:15 – 02:45,John D,CS133-04,help,help
2025-04-28,03:45 – 04:45,John A,CS151-02,test help,questoins #3
2025-04-30,02:15 – 02:45,Betsy B,CS146-06,help,help
2025-05-01,02:00 – 03:00,Kevin K,CS151-02,nope,needs help
2025-05-03,03:45 – 04:45,Betsy B,CS146-06,help,help
2025-05-09,02:00 – 03:00,Leo g,CS146-06,A lot of help,needs help
2025-05-23,03:45 – 04:45,Emely B,CS133-04,N/A,needs help
2025-05-29,02:15 – 02:45,John D,CS146-06,help,help
